"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"Navigate","Activate Task","⌘F9","In Windows"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Edit","Add Maven Dependency","⌃⇧D","Editing XML Source"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"View","Zoom Out","⌘-","In Windows"
"Project","Build All","⌘B","In Windows"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor"
"Run/Debug","Coverage","⌃⇧F11","In Windows"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Text Editing","Line Start","⌘←","Editing Text"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Task Repositories","New Subtask","⌥⇧N","In Tasks View"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Navigate","Open Type","⇧⌘T","In Windows"
"Navigate","Open Manifest","⌥⇧⌘M","In Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"EMF Code Generation","Generate Code","⌥⇧G","In Windows"
"Navigate","Go to Line","⌘L","Editing Text"
"Edit","Select Next Element","⌃⇧↘","Editing Java Source"
"Terminal view commands","Copy","⌘C","Terminal Control in Focus"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Database Tools","Edit in SQL Query Builder...","⌥Q","Editing SQL"
"Edit","Restore Last Selection","⌃⇧⇟","Editing Java Source"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"Database Tools","Execute Current Text","⌥S","Editing SQL"
"JavaScript Debug","Open Source","⇧⌘3","Debugging"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"Terminal Commands","Open Local Terminal on Selection","⌃⌥T","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Focused UI","Show Context Quick View","⌥⇧⌘→","In Windows"
"Spy","Layout Spy","⌥⇧⌘F9","In Dialogs and Windows"
"Text Editing","Zoom In","⌘=","Editing Text"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Text Editing","Select Previous Word","⌥⇧←","Editing Text"
"Terminal view commands","Terminal view insert","⌥C","Terminal Typing Connected"
"Task Repositories","Mark Task Read","⌥⇧R","In Tasks View"
"Source","Organize Imports","⇧⌘O","In Windows"
"Uncategorized","Find References","⇧⌘G","in Generic Code Editor"
"File","Save","⌘S","In Windows"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"File","New","⌘N","In Windows"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Search","Declaration in Workspace","⌘G","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"File","Close All","⇧⌘W","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Uncategorized","Copy Commit Id","⌘C","In Git Reflog View"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Edit","Select Previous Element","⌃⇧←","Editing in Structured Text Editors"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Search","Open Search Dialog","⌃H","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Views","JavaScript Declaration","⌥⌘Q D","JavaScript View"
"File","Properties","⌥↩","In Windows"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Run/Debug","Terminate","⌘F2","Debugging"
"Views","Show View","⌥⌘Q Q","In Windows"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Terminal view commands","Paste","⇧⌘V","Terminal Control in Focus"
"Navigate","Forward History","⌥⌘→","In Windows"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Navigate","Backward History","⌥⌘←","In Windows"
"Edit","Previous Sibling","⌃⇧↑","Editing in Structured Text Editors"
"File","Close","⌘W","In Windows"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Navigate","Open Maven POM","⌥⇧P","In Windows"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Edit","Rename","⌥⇧R","Editing JSP Source"
"Navigate","Next Page","⌘F5","In Faces Config Editor"
"Edit","Matching Tag","⌃⇧.","Editing in Structured Text Editors"
"Text Editing","Select Next Word","⌥⇧→","Editing Text"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks View"
"Navigate","Quick Outline","⌘O","PDE editor"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Edit","Select Previous Element","⌃⇧↖","Editing Java Source"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Edit","Toggle Comment","⌘/","Editing SQL"
"Refactor - JavaScript","Rename - Refactoring ","⌥⌘R","JavaScript View"
"Spy","Plug-in Menu Spy","⌥⇧F2","In Dialogs and Windows"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks Editor"
"View","Zoom In","⌘=","In Windows"
"Window","Show Contributing Plug-in","⌥⇧F3","In Dialogs and Windows"
"Terminal Commands","Open Local Terminal on Selection","⌃⌥⇧T","In Windows"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Web Page Editor Layout","Source Code","⇧⌘F12","Using Web Page Editor"
"Run/Debug","Coverage Eclipse Application","⌥⇧E E","In Windows"
"Navigate","Open Remote Task","⌥⇧⌘F12","In Windows"
"Edit","Toggle Word Wrap","⌥⌘Y","Editing Text"
"Edit","Incremental Find","⌘J","Editing Text"
"Focused UI","Make Landmark","⌥⇧⌘↑","In Windows"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Database Tools","Debug","⌥⌘D","Editing SQL"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Backward History","⌘[","In Windows"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Run/Debug","Coverage Scala Application","⌥⇧E L","In Windows"
"Server","Publish","⌥⌘P","In Servers View"
"Terminal view commands","Terminal view insert","⌥V","Terminal Typing Connected"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"File","Print","⌘P","In Windows"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Terminal view commands","Copy","⌘Insert","Terminal Control in Focus"
"Navigate","Previous Page","⇧⌘F5","In Faces Config Editor"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Run/Debug","EOF","⌃D","In I/O Console"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Database Tools","Execute Selected Text","⌥X","Editing SQL"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
